Company name,Industry,City,Province
1Password,Software publishers,North York, ON
ABB Canada,Engineering and technology services,Saint-Laurent, QC
APTN,Television broadcasting,Winnipeg, MB
Alberta Blue Cross,Health and medical insurance carriers,Edmonton, AB
AstraZeneca Canada Inc.,Pharmaceutical manufacturing,Mississauga, ON
Bank of Canada,Central bank,Ottawa, ON
BASF Canada Inc.,Chemical manufacturing,Mississauga, ON
BC Public Service,Provincial government,Victoria, BC
BDO Canada LLP,Accounting,Toronto, ON
Bell Canada,Communications,Verdun, QC
BHP Canada Inc.,Mining,Saskatoon, SK
"Blake, Cassels & Graydon LLP",Law firms,Toronto, ON
Boston Consulting Group Canada ULC,Management consulting,Toronto, ON
British Columbia Investment Management Corp. / BCI,Portfolio management,Victoria, BC
Business Development Bank of Canada,Secondary market financing,Montr̩al, QC
CAE Inc.,Aviation and defence systems,Saint-Laurent, QC
Canada Energy Regulator,"Federal government, regulation of the oil, gas, and electric utility industries",Calgary, AB
Carleton University,"Post secondary schools, universities",Ottawa, ON
Cascades Canada ULC,Paper products,Kingsey Falls, QC
CIBC,Banking,Toronto, ON
Citi Canada,Banking,Mississauga, ON
Clio,Computer software,Burnaby, BC
"College of Physicians and Surgeons of Ontario, The",Professional organizations,Toronto, ON
"Co-operators Group Limited, The",Insurance,Guelph, ON
Danone Canada,Food manufacturing,Boucherville, QC
Dash Hudson Inc.,Software,Halifax, NS
Dentons Canada LLP,Law firms,Calgary, AB
Desjardins Group / Mouvement Desjardins,Financial institutions,L̩vis, QC
Diamond Schmitt Architects Inc.,Architecture,Toronto, ON
Digital Extremes Ltd.,Software publishers,London, ON
Emera Inc.,Electric power generation and distribution and gas distribution,Halifax, NS
Employment and Social Development Canada,"Federal government, social development, employment insurance, passport services",Gatineau, QC
Enbridge Inc.,Energy infrastructure,Calgary, AB
ETRO Construction Ltd.,Construction management,Burnaby, BC
Export Development Canada,International trade financing and support services,Ottawa, ON
EY,Accounting,Toronto, ON
Fidelity Canada,Portfolio management,Toronto, ON
Ford Motor Company of Canada Ltd.,Automobile manufacturing,Oakville, ON
Fowler Bauld & Mitchell Ltd. / FBM,Architectural services,Halifax, NS
GHD Ltd.,Engineering services,Waterloo, ON
Graham Construction,"Industrial, commercial and institutional building construction",Calgary, AB
HarperCollins Canada Ltd. and Harlequin Enterprises ULC,Book publishers,Toronto, ON
Hatch Ltd.,Engineering services,Mississauga, ON
Henkel Canada Corp.,Consumer and industrial product manufacturing,Mississauga, ON
"Hospital for Sick Children, The",Hospitals,Toronto, ON
IGM Financial Inc.,Financial services,Winnipeg, MB
"Innovation, Science and Economic Development Canada","Federal government, industry and economic development programs",Ottawa, ON
Interior Health Authority,Hospitals,Kelowna, BC
Inter Pipeline Ltd.,"Petroleum transportation, storage and natural gas liquids processing",Calgary, AB
